timestamp,value,classification,date,timestamp updated miliseconds ,timestamp updated
1517463000,30,Fear,01-02-2018,1.51746E+12,01-02-2018 05:30
1517549400,15,Extreme Fear,02-02-2018,1.51755E+12,02-02-2018 05:30
1517635800,40,Fear,03-02-2018,1.51764E+12,03-02-2018 05:30
1517722200,24,Extreme Fear,04-02-2018,1.51772E+12,04-02-2018 05:30
1517808600,11,Extreme Fear,05-02-2018,1.51781E+12,05-02-2018 05:30
1517895000,8,Extreme Fear,06-02-2018,1.5179E+12,06-02-2018 05:30
1517981400,36,Fear,07-02-2018,1.51798E+12,07-02-2018 05:30
1518067800,30,Fear,08-02-2018,1.51807E+12,08-02-2018 05:30
1518154200,44,Fear,09-02-2018,1.51815E+12,09-02-2018 05:30
1518240600,54,Neutral,10-02-2018,1.51824E+12,10-02-2018 05:30
1518327000,31,Fear,11-02-2018,1.51833E+12,11-02-2018 05:30
1518413400,42,Fear,12-02-2018,1.51841E+12,12-02-2018 05:30
1518499800,35,Fear,13-02-2018,1.5185E+12,13-02-2018 05:30
1518586200,55,Greed,14-02-2018,1.51859E+12,14-02-2018 05:30
1518672600,71,Greed,15-02-2018,1.51867E+12,15-02-2018 05:30
1518759000,67,Greed,16-02-2018,1.51876E+12,16-02-2018 05:30
1518845400,74,Greed,17-02-2018,1.51885E+12,17-02-2018 05:30
1518931800,63,Greed,18-02-2018,1.51893E+12,18-02-2018 05:30
1519018200,67,Greed,19-02-2018,1.51902E+12,19-02-2018 05:30
1519104600,74,Greed,20-02-2018,1.5191E+12,20-02-2018 05:30
1519191000,54,Neutral,21-02-2018,1.51919E+12,21-02-2018 05:30
1519277400,44,Fear,22-02-2018,1.51928E+12,22-02-2018 05:30
1519363800,39,Fear,23-02-2018,1.51936E+12,23-02-2018 05:30
1519450200,31,Fear,24-02-2018,1.51945E+12,24-02-2018 05:30
1519536600,33,Fear,25-02-2018,1.51954E+12,25-02-2018 05:30
1519623000,37,Fear,26-02-2018,1.51962E+12,26-02-2018 05:30
1519709400,44,Fear,27-02-2018,1.51971E+12,27-02-2018 05:30
1519795800,41,Fear,28-02-2018,1.5198E+12,28-02-2018 05:30
1519882200,38,Fear,01-03-2018,1.51988E+12,01-03-2018 05:30
1519968600,47,Neutral,02-03-2018,1.51997E+12,02-03-2018 05:30
1520055000,56,Greed,03-03-2018,1.52006E+12,03-03-2018 05:30
1520141400,44,Fear,04-03-2018,1.52014E+12,04-03-2018 05:30
1520227800,55,Greed,05-03-2018,1.52023E+12,05-03-2018 05:30
1520314200,59,Greed,06-03-2018,1.52031E+12,06-03-2018 05:30
1520400600,37,Fear,07-03-2018,1.5204E+12,07-03-2018 05:30
1520487000,39,Fear,08-03-2018,1.52049E+12,08-03-2018 05:30
1520573400,37,Fear,09-03-2018,1.52057E+12,09-03-2018 05:30
1520659800,39,Fear,10-03-2018,1.52066E+12,10-03-2018 05:30
1520746200,40,Fear,11-03-2018,1.52075E+12,11-03-2018 05:30
1520832600,41,Fear,12-03-2018,1.52083E+12,12-03-2018 05:30
1520919000,41,Fear,13-03-2018,1.52092E+12,13-03-2018 05:30
1521005400,40,Fear,14-03-2018,1.52101E+12,14-03-2018 05:30
1521091800,32,Fear,15-03-2018,1.52109E+12,15-03-2018 05:30
1521178200,33,Fear,16-03-2018,1.52118E+12,16-03-2018 05:30
1521264600,31,Fear,17-03-2018,1.52126E+12,17-03-2018 05:30
1521351000,29,Fear,18-03-2018,1.52135E+12,18-03-2018 05:30
1521437400,29,Fear,19-03-2018,1.52144E+12,19-03-2018 05:30
1521523800,37,Fear,20-03-2018,1.52152E+12,20-03-2018 05:30
1521610200,36,Fear,21-03-2018,1.52161E+12,21-03-2018 05:30
1521696600,36,Fear,22-03-2018,1.5217E+12,22-03-2018 05:30
1521783000,28,Fear,23-03-2018,1.52178E+12,23-03-2018 05:30
1521869400,32,Fear,24-03-2018,1.52187E+12,24-03-2018 05:30
1521955800,30,Fear,25-03-2018,1.52196E+12,25-03-2018 05:30
1522042200,31,Fear,26-03-2018,1.52204E+12,26-03-2018 05:30
1522128600,24,Extreme Fear,27-03-2018,1.52213E+12,27-03-2018 05:30
1522215000,24,Extreme Fear,28-03-2018,1.52222E+12,28-03-2018 05:30
1522301400,18,Extreme Fear,29-03-2018,1.5223E+12,29-03-2018 05:30
1522387800,12,Extreme Fear,30-03-2018,1.52239E+12,30-03-2018 05:30
1522474200,16,Extreme Fear,31-03-2018,1.52247E+12,31-03-2018 05:30
1522560600,16,Extreme Fear,01-04-2018,1.52256E+12,01-04-2018 05:30
